"autoctr","Stockcode","C_Code","SpecCode","CountryRefNo","AlsoRef","Status","CurrentPresence","Freshwater","Brackish","Saltwater","Land","Comments","Abundance","RefAbundance","Importance","RefImportance","ExVesselPrice","Aquaculture","RefAquaculture","LiveExportOrg","LiveExport","RefLiveExport","Game","Bait","Regulations","RefRegulations","Threatened","CountrySubComp","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","country"
74054,5377,"704",5140,10418,NA,"misidentification","absent",1,0,0,0,"Found in Mekong delta (Ref. 36625).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,393,2000-11-23,10,2001-06-13,NA,NA,NA,"Viet Nam"
74081,5381,"704",5143,7050,NA,"native","present",1,0,0,0,"Present in Da River (Ref. 90167, 89724).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,2,1994-08-15,2,2012-06-04,NA,NA,NA,"Viet Nam"
74094,5382,"704",5144,36654,NA,"native","present",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,393,2000-11-29,NA,2000-11-29,NA,NA,NA,"Viet Nam"
74147,5391,"704",5152,36625,NA,"native","present",1,0,0,0,"Found in Mekong delta (Ref. 36625). Present in Da River (Ref. 90167, 89724).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,393,2000-11-23,2,2012-06-06,NA,NA,NA,"Viet Nam"
74191,5397,"704",5158,12846,NA,"native","present",0,0,1,0,"Known from the Gulf of Tonkin (Ref. 12846) and Quang Ninh-Cat Ba (Ref. 58534).","occasional (usually not seen)",12846,NA,NA,NA,NA,NA,0,"live food",34166,0,0,NA,NA,0,0,1472,2006-11-16,393,2007-12-27,NA,NA,NA,"Viet Nam"
74199,5398,"704",5159,9706,NA,"native","present",0,0,1,0,"Central Vietnam.","scarce (very unlikely)",9706,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,22,1995-11-08,NA,1995-11-08,NA,NA,NA,"Viet Nam"
74218,5406,"704",5167,36625,NA,"native","present",1,0,0,0,"Found in Mekong delta (Ref. 36625).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,393,2000-11-23,NA,2000-11-23,NA,NA,NA,"Viet Nam"
74246,5419,"704",5180,36625,36654,"native","present",1,0,0,0,"Found in Mekong delta (Ref. 36625).  Also known from Annam (Ref. 26580).  Also Ref. 36654.",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,393,2000-11-23,1034,2004-09-27,NA,NA,NA,"Viet Nam"
74266,5431,"704",5192,36654,NA,"native","present",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,393,2000-11-29,NA,2000-11-29,NA,NA,NA,"Viet Nam"
74288,5434,"704",5196,58534,NA,"native","present",0,0,1,0,"Known from Nha Trang (Ref. 58534).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2007-09-06,NA,2007-09-06,NA,NA,NA,"Viet Nam"
75226,5580,"704",5341,9706,NA,"native","present",0,0,1,0,NA,"scarce (very unlikely)",9706,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,22,1995-11-09,1472,2006-11-09,NA,NA,NA,"Viet Nam"
75262,5584,"704",5345,58534,NA,"native","present",0,0,1,0,"Known from Con Co (Ref. 58534).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2007-08-08,NA,2007-08-08,NA,NA,NA,"Viet Nam"
75325,5587,"704",5348,46893,NA,"native","present",0,0,1,0,"Known from central Vietnam (Ref. 12846), Quang Ninh-Cat Ba, Cu Lao Cham, Nha Trang, Cu Lao Cau, Con Dao, An Thoi and Spratly islands (Ref. 58534).  Also Ref. 2114, 5222.","common (usually seen)",12846,NA,NA,NA,NA,NA,0,"ornamental",34166,0,0,NA,NA,0,0,14,1992-06-04,393,2007-12-27,NA,NA,NA,"Viet Nam"
75362,5588,"704",5349,12846,NA,"native","present",0,0,1,0,"Also Ref. 5222.","occasional (usually not seen)",12846,NA,NA,NA,NA,NA,0,"live food",34166,0,0,NA,NA,0,0,14,1992-12-11,393,2007-12-27,NA,NA,NA,"Viet Nam"
75389,5589,"704",5350,12846,NA,"native","present",0,0,1,0,"Known from the Gulf of Tonkin (Ref. 12846), Quang Ninh-Cat Ba and Spratly islands (Ref. 58534).","occasional (usually not seen)",12846,NA,NA,NA,NA,NA,0,"live food",34166,0,0,NA,NA,0,0,1472,2006-11-16,393,2007-12-27,NA,NA,NA,"Viet Nam"
75445,5592,"704",5353,12846,NA,"native","present",0,0,1,0,"Also Ref. 5222.","occasional (usually not seen)",12846,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,14,1994-01-05,1472,2006-11-15,NA,NA,NA,"Viet Nam"
75502,5593,"704",5354,58534,NA,"native","present",0,0,1,0,"Known from the Spratly islands (Ref. 58534).",NA,NA,NA,NA,NA,NA,NA,0,"live food",34166,0,0,NA,NA,0,0,1472,2007-08-09,393,2007-12-28,NA,NA,NA,"Viet Nam"
75624,5622,"704",5367,46893,NA,"native","present",0,0,1,0,"Known from central and southern Vietnam (Ref. 12846).  Museum: MNHN 1965-238. Also Ref. 2114, 4787, 5222.","common (usually seen)",12846,NA,NA,NA,NA,NA,0,"live food",34166,0,0,NA,NA,0,0,14,1992-06-04,393,2007-12-27,NA,NA,NA,"Viet Nam"
75672,5624,"704",5368,12846,NA,"native","present",0,1,1,0,"Known from the Gulf of Tonkin and central Vietnam (Ref. 12846); also from Quang Ninh-Cat Ba (Ref. 58534).  Also Ref. 2115.","common (usually seen)",12846,NA,NA,NA,NA,NA,0,"live food",34166,0,0,NA,NA,0,0,10,1993-06-14,393,2007-12-31,NA,NA,NA,"Viet Nam"
75734,5630,"704",5374,9705,NA,"native","present",0,0,1,0,"Known from the Gulf of Tonkin and coast of central Viet Nam (Ref. 9705).  Also Ref. 9993, 43278. 

Status of threat: Rare (Ref. 46452).","fairly common (chances are about 50%)",9705,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,1,0,1,1992-04-06,1472,2008-02-26,NA,NA,NA,"Viet Nam"
75775,5631,"704",4508,116741,NA,"misidentification","absent",0,0,1,0,"Outside distributional range (Ref. 116741). Reported from Ref. 2682, 9705, 58534.","common (usually seen)",9705,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,22,1992-08-10,14,2024-12-18,14,2024-12-18,NA,"Viet Nam"
75794,5633,"704",5376,36625,7050,"native","present",1,1,0,0,"Found in Mekong delta (Ref. 36625).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,2,1994-08-26,10,2001-05-15,NA,NA,NA,"Viet Nam"
75892,5647,"704",5388,9706,NA,"native","present",0,0,1,0,"Known from the Central Vietnam (Ref. 9706), Quang Ninh-Cat Ba, Nha Trang and Spratly islands (Ref. 58534).","scarce (very unlikely)",9706,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,22,1995-11-07,1472,2007-08-07,NA,NA,NA,"Viet Nam"
75936,5648,"704",5389,9706,NA,"native","present",0,0,1,0,"Known from Central Vietnam (Ref. 9706).","scarce (very unlikely)",9706,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,22,1995-11-07,1472,2006-11-09,NA,NA,NA,"Viet Nam"
