ScientificName,VietnameseName
Pristella maxillaris,Cá tetra pristella
Protomelas taeniolatus,Red empress cichlid
Pseudotropheus acei,Yellow-tail acei
Pseudotropheus crabro,"Bumblebee cichlid, hornet cichlid"
Pseudotropheus demasoni,Dwarf Mbuna
Pseudotropheus saulosi,Saulosi
Pterygoplichthys gibbiceps,Cá tỳ bà beo Cá lau kiếng vây buồm báo
Pterygoplichthys multiradiatus,Cá lau kiếng vây buồm
Pterygoplichthys pardalis,Cá lau kiếng Cá lau kiếng Amazon
Pundamilia nyererei,Flameback
Puntius arulius,Cá đòng đong Arulius
Puntius binotatus,Cá đòng đong thông thường
Puntius chola,Cá đòng đong đầm lầy
Puntius conchonius,Cá đòng đong hồng
Puntius denisonii,Cá đòng đong Dentison
Puntius everetti,Cá đòng đong hề
Puntius fasciatus,Cá đòng đong dưa
Puntius gelius,Cá đòng đong vàng
Puntius lateristriga,Cá đòng đong chữ t
Puntius nigrofasciatus,Cá đòng đong ruby đen
Puntius pentazona,Cá ngũ vân
Puntius semifasciolatus,Cá đòng đong vàng
Puntius sophore,Cá đòng đong hồ
Puntius terio,Cá đòng đong một đốm
Puntius tetrazona,Cá tứ vân
Puntius titteya,Cá đòng đong anh đào
Puntius vittatus,Cá đòng đong sọc xanh
Rhampsochromis cf. macrophthalmus,Malawi barracuda
Thayeria boehlkei,Cá chim cánh cụt
Tilapia buttikoferi,Cá rô phi ngựu vằn
Xiphophorus hellerii,Cá đuôi kiếm xanh
Yasuhikotakia modesta,Blue botia
Yasuhikotakia morleti,Skunk loach
Yasuhikotakia sidthimunki,Dwarf loach
